ContentID,UserID,Type,Datetime,ContentType,Content,Sentiment,Score,,ContentID,UserID,ContentType,Category,,,Type,Sentiment,Score
18b4da8a-5f22-4dbe-b2af-c9013581cdd9,002cd824-10f2-447c-8d1c-940325a1cdf4,intrigued,08/16/2020 18:44,GIF,tennis,positive,20,,97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,Studying,,,heart,positive,60
5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,002cd824-10f2-447c-8d1c-940325a1cdf4,scared,10/03/2020 00:44,photo,fitness,negative,65,,9f737e0a-3cdd-4d29-9d24-753f4e3be810,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,,,want,positive,70
8d32243c-2dd1-4128-bde1-d643207e582c,002cd824-10f2-447c-8d1c-940325a1cdf4,peeking,02/01/2021 19:27,video,dogs,neutral,65,,230c4e4d-70c3-461d-b42c-ec09396efb3f,a5c65404-5894-4b87-82f2-d787cbee86b4,photo,healthy eating,,,disgust,negative,0
eaddee3e-3a23-47cd-9785-ab7f2120a293,002cd824-10f2-447c-8d1c-940325a1cdf4,hate,04/08/2021 05:11,video,studying,negative,5,,356fff80-da4d-4785-9f43-bc1261031dc6,9fb4ce88-fac1-406c-8544-1a899cee7aaf,photo,technology,,,hate,negative,5
86346263-02db-4020-a216-9e54f502f643,002cd824-10f2-447c-8d1c-940325a1cdf4,love,07/05/2020 20:16,photo,veganism,positive,65,,01ab84dd-6364-4236-abbb-3f237db77180,e206e31b-5f85-4964-b6ea-d7ee5324def1,video,food,,,interested,positive,30
a784c1dd-e2ab-408d-a0c3-226a51d420e1,002cd824-10f2-447c-8d1c-940325a1cdf4,peeking,12/06/2020 04:04,photo,travel,neutral,65,,3f8590c7-6ab2-4973-805a-90cdec355f05,ae600af5-c1f0-4b1f-adb0-1b4c246373e4,video,dogs,,,indifferent,neutral,20
34123572-64b7-4f3d-b098-a2651d882fb2,002cd824-10f2-447c-8d1c-940325a1cdf4,peeking,06/03/2021 04:59,GIF,veganism,neutral,65,,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,583f2bde-886d-4cf3-a5c4-7cb60cd25df3,video,technology,,,love,positive,65
2019333d-2b9c-4a22-904c-d1f1aa9c68bb,002cd824-10f2-447c-8d1c-940325a1cdf4,intrigued,10/16/2020 23:51,GIF,tennis,positive,20,,0bedca96-fb76-4287-a83c-17330ed39cce,2bd9c167-e06c-47c1-a978-3403d6724606,photo,soccer,,,superlove,positive,75
2019333d-2b9c-4a22-904c-d1f1aa9c68bb,002cd824-10f2-447c-8d1c-940325a1cdf4,disgust,11/05/2020 22:21,GIF,tennis,negative,0,,b18cb63f-4c8e-44ee-a47f-541e95191d11,13f0db8a-152a-496f-a6e8-1ed6a90b8788,photo,public speaking,,,cherish,positive,70
1987b43d-bcb9-4ab0-8634-ef3623928e94,002cd824-10f2-447c-8d1c-940325a1cdf4,adore,04/15/2021 12:14,GIF,tennis,positive,72,,46fb701d-6c26-458e-ada3-2ebe5dbba01f,4fe1900d-5e78-41a3-88ed-18e6889c6c77,audio,public speaking,,,adore,positive,72
96209724-37a8-475b-b80a-03e96a7c33b1,002cd824-10f2-447c-8d1c-940325a1cdf4,love,08/24/2020 03:27,video,dogs,positive,65,,0be59876-d70c-486c-8e0b-a06bef7a2cd6,72d2587e-8fae-4626-a73d-352e6465ba0f,GIF,tennis,,,like,positive,50
94be0dfb-a23a-4426-9c3c-e4db1fd914b5,002cd824-10f2-447c-8d1c-940325a1cdf4,heart,04/17/2021 06:16,video,dogs,positive,5,,81abd65a-3b76-4574-a0a7-db6bf7184ae2,4793cc6d-be60-42cc-bfd4-7ce8fd4d0eab,video,food,,,dislike,negative,10
590873fc-e921-4396-a173-a43451675afc,002cd824-10f2-447c-8d1c-940325a1cdf4,disgust,10/30/2020 09:23,photo,fitness,negative,0,,e6ee2244-9382-49a9-8cbf-fa54aaaa2392,740a4abd-187d-4783-990b-161c52fb5f86,audio,travel,,,intrigued,positive,45
2240bbde-db67-4d73-b885-f0117b4b2080,002cd824-10f2-447c-8d1c-940325a1cdf4,hate,02/13/2021 08:43,GIF,tennis,negative,5,,f332d362-dc48-46c2-a64b-641157c0987e,05782669-264e-4c14-990e-14c8dbb13bef,GIF,soccer,,,peeking,neutral,35
59bb59ce-776b-4d28-85ee-c0d71c690b6a,002cd824-10f2-447c-8d1c-940325a1cdf4,cherish,9/23/20204:51:00AM,photo,fitness,positive,70,,a2e93b29-9259-4092-a4d7-62d5e823bb74,d0ea9a00-4ea9-4c81-b16a-a20b72f824ea,video,publicspeaking,,,scared,negative,15
e96d9fcb-b5be-4382-b809-6315dbe6f89a,002cd824-10f2-447c-8d1c-940325a1cdf4,dislike,08/14/2020 05:30,video,studying,negative,0,,9b3a6d30-48e8-476c-82be-9031524bd04d,3d13e0d3-e765-4065-9221-3f864689b9e0,video,food,,,worried,negative,12
d72ea14e-16fb-4e2d-acf1-59a29dfa21df,002cd824-10f2-447c-8d1c-940325a1cdf4,interested,10/16/2020 19:12,video,studying,positive,30,,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,a90c3ed2-7c64-47c3-9da5-b10d05f6f9f2,video,tennis,,,,,
cebae43b-4f77-4689-86e0-66fb107d5eef,002cd824-10f2-447c-8d1c-940325a1cdf4,love,11/18/2020 11:39,video,studying,positive,65,,f98dde71-ce1d-4f6c-bb05-ae05779d2207,11f207c2-0113-47e5-aa9a-df2c7b91ac75,GIF,soccer,,,,,
ad8bc9be-50a3-491a-b240-49b8f573238e,002cd824-10f2-447c-8d1c-940325a1cdf4,peeking,03/03/2021 21:41,photo,travel,neutral,65,,388bd9db-9d10-4f47-87c4-6db46e83bc95,76cb4dbe-7748-49ab-8179-6e3f3b840dd6,video,education,,,,,
df15da28-c038-4d0c-a63a-eac77f650ee3,002cd824-10f2-447c-8d1c-940325a1cdf4,dislike,08/30/2020 08:47,video,studying,negative,0,,78d0075f-895c-4a15-a35c-a921e2bb2cea,34fcadd6-fa9b-4404-981a-c70c86cde556,photo,studying,,,,,
02ba5af1-784a-44cc-ae3a-14833c4a2237,002cd824-10f2-447c-8d1c-940325a1cdf4,peeking,02/06/2021 10:41,video,food,neutral,65,,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,7719b807-bf22-4b36-8f69-44d9a87d239b,photo,travel,,,,,
6dbd153c-5b69-4ffb-a869-6285fb0c764d,002cd824-10f2-447c-8d1c-940325a1cdf4,interested,04/18/2021 09:07,photo,fitness,positive,30,,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,10f311c3-f547-4260-8c0e-a155008b7936,audio,dogs,,,,,
a82b8250-08aa-47a5-97c4-19f30f236179,002cd824-10f2-447c-8d1c-940325a1cdf4,disgust,05/08/2021 18:39,photo,travel,negative,0,,34a3747a-0b77-42f6-ae19-87c38b94b674,5b62e10e-3c19-4d28-a57c-e9bdc3d6758d,GIF,science,,,,,
754eb96d-65d0-416b-aec4-4ba35836157d,002cd824-10f2-447c-8d1c-940325a1cdf4,intrigued,02/14/2021 14:49,photo,fitness,positive,20,,2920dccb-e06f-49fc-8049-b6d4164dfe84,f8926cfa-7036-4929-b5db-925c26daea1a,GIF,veganism,,,,,
6fd589e8-53ab-4345-896a-f428a92fcbe6,002cd824-10f2-447c-8d1c-940325a1cdf4,interested,10/31/2020 15:21,photo,fitness,positive,30,,f4e3840e-bb71-40c2-afc5-9408d842646d,d9aab962-e964-4afd-83ee-abda0865da67,photo,healthy eating,,,,,
2e84726a-e69f-44e8-ac0f-c4a31516e342,002cd824-10f2-447c-8d1c-940325a1cdf4,worried,03/01/2021 08:45,GIF,veganism,negative,12,,74718bbf-e5a3-442f-8ca2-4a3428757fc1,e2377b94-f06a-49ed-a266-377c4b07e980,video,dogs,,,,,
01aff5ec-2aa8-412e-99ec-526f0f9a6d5e,002cd824-10f2-447c-8d1c-940325a1cdf4,dislike,01/04/2021 05:59,video,food,negative,0,,89fd8f89-807f-4076-b7e7-84db361e11c1,0c347562-ce55-450b-91ab-0707662b36f5,audio,studying,,,,,
41e6d775-b5ca-4d6c-8f50-66ac3c92a300,002cd824-10f2-447c-8d1c-940325a1cdf4,scared,12/20/2020 15:01,GIF,veganism,negative,65,,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,568e7c6f-b1e9-4a85-897c-aaaaa0ce8832,video,cooking,,,,,
41e6d775-b5ca-4d6c-8f50-66ac3c92a300,002cd824-10f2-447c-8d1c-940325a1cdf4,hate,03/22/2021 04:41,GIF,veganism,negative,5,,eec5e521-4c28-4e8a-93a9-d544803fad7e,cad2d54d-9555-4dfe-bfcd-7a584895a002,audio,food,,,,,
36bd1711-92f6-4240-8ac5-21df845abe86,002cd824-10f2-447c-8d1c-940325a1cdf4,peeking,05/02/2021 01:11,GIF,veganism,neutral,65,,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,3eb6dad3-c017-4e77-8920-fbdea84b0acc,photo,technology,,,,,
b3c0379a-b71a-4f6f-9fde-ceb636739633,002cd824-10f2-447c-8d1c-940325a1cdf4,interested,03/27/2021 20:22,photo,travel,positive,30,,457301ee-3e87-40d8-8b82-ea4e1fa90e39,bec3a622-1373-49c2-9d57-e0281c34f5cf,GIF,healthy eating,,,,,
